ModulName,ModulParent,ModulLevel,ModulCaption
miMMaliTablo,miMMuhasebe,1,Mali Tablolar
miMBilanco,miMMaliTablo,2,Bilanço
miMKarZarar,miMMaliTablo,2,Gelir Tablosu
miMSatisMaliyet,miMMaliTablo,2,Satışların Maliyeti Tablosu
miMFonAkim,miMMaliTablo,2,Fon Akım Tablosu
miMNakitAkis,miMMaliTablo,2,Nakit Akış Tablosu
miMKarDagitim,miMMaliTablo,2,Kar Dağıtım Tablosu
mieBeyan,miMMuhasebe,1,e-Beyannameler
miKDVeBeyan,mieBeyan,2,KDV1 e-Beyanname
miMuheBeyan,mieBeyan,2,Muhtasar e-Beyanname
miKDV2eBeyan,mieBeyan,2,KDV2 e-Beyanname
miEDefterMain,miMMuhasebe,1,E-Defter
miEdefterCreate,miEDefterMain,2,E-Defter Taslak Oluşturma
miMagaza,,0,Mağaza
miPos,miMagaza,1,Perakende Satış İşlemleri
miMusteri,miMagaza,1,Müşteriler
miPerYonetim,miMagaza,1,Perakende Satış Yönetimi
miSatTakip,miMagaza,1,Mağaza Satış Kasa Takip
miPerKZYon,miMagaza,1,Perakende Satış Kar Zarar Yönetimi ...
miBankaKrediTak,miMagaza,1,Banka Kredi Takip
miMusteriYon,miMagaza,1,Müşteri Yönetimi
miPSatisRapor,miMagaza,1,Satış Raporları
Rapor_9,miPSatisRapor,2,Lokasyona Göre Genel Satış Raporu (Satış Miktarına Göre) (r9)
Rapor_298,miPSatisRapor,2,Metrekare Bazında Lokasyona Göre Satış Raporu (298)
Rapor_308,miPSatisRapor,2,Personel Sayısı Bazında Lokasyona Göre Satış Raporu (308)
Rapor_299,miPSatisRapor,2,Lokasyon Bazında Belirlenen Ciro Hedeflerin Gerçekleşme Raporu (299)
Rapor_300,miPSatisRapor,2,Lokasyon Bazında Belirlenen Miktar Hedeflerin Gerçekleşme Raporu (300)
Rapor_1,miPSatisRapor,2,En Çok Satan Ürün Raporu (Satış Miktarına Göre) (r1)
Rapor_2,miPSatisRapor,2,Üreticiye Göre En Çok Satan Ürün Raporu (Satış Miktarına Göre) (r2)
Rapor_7,miPSatisRapor,2,Lokasyona Göre En Çok Satan Ürün Raporu (Satış Tutarına Göre) (r7)
Rapor_16,miPSatisRapor,2,Lokasyonlara Göre Aylık Satış Raporu (Satış Miktarına Göre) (r16)
Rapor_18,miPSatisRapor,2,Lokasyonlara Göre Aylık Satış Raporu (Satış Tutarına Göre) (r18)
Rapor_26,miPSatisRapor,2,Haftalık Satış Analizi (Satış Miktarına Göre) (r26)
Rapor_27,miPSatisRapor,2,Aylık Satış Analizi (Satış Miktarına Göre) (r27)
Rapor_29,miPSatisRapor,2,Yıllık Satış Analizi (Satış Miktarına Göre) (r29)
Rapor_31,miPSatisRapor,2,Haftalık Satış Analizi (Satış Tutarına Göre) (r31)
Rapor_32,miPSatisRapor,2,Aylık Satış Analizi (Satış Tutarına Göre) (r32)
Rapor_34,miPSatisRapor,2,Yıllık Satış Analizi (Satış Tutarına Göre) (r34)
Rapor_119,miPSatisRapor,2,Üretici Bazlı Mağaza Performans Takip (r119)
Rapor_120,miPSatisRapor,2,Üretici Bazlı Merkez Alış Mağaza Satış Performans Takip (r120)
Rapor_38,miPSatisRapor,2,Satmayan Ürün Raporu (r38)
Rapor_39,miPSatisRapor,2,Lokasyona Göre Satmayan Ürün Raporu (r39)
Rapor_169,miPSatisRapor,2,Merkez-Şube Stok Durum Raporu (Özet) (r169)
Rapor_701,miPSatisRapor,2,Lokasyon Bazında Stok Satış Oranı (r701)
Rapor_702,miPSatisRapor,2,Lokasyon Stok Grubu Bazında Satış Oranı Raporu (r702)
Rapor_703,miPSatisRapor,2,Stok Grubuna Göre Satış Performansı  (r703)
Rapor_704,miPSatisRapor,2,RPT Değerlendirme Raporu (r704)
Rapor_705,miPSatisRapor,2,Satış İndirim Değerlendirme Raporu (705)
Rapor_706,miPSatisRapor,2,Sipariş ve İrsaliye Miktar Analizi  (r706)
Rapor_707,miPSatisRapor,2,Stok Grubuna Göre Satış Performansı-2  (r707)
Rapor_708,miPSatisRapor,2,Gönderilen-Alınan Dahili İrsaliye Analizi (r708)
Rapor_709,miPSatisRapor,2,Gerçekleşen Ciro-Hedefler Karşılaştırma Raporu (r709)
Rapor_710,miPSatisRapor,2,Lokasyonlara Göre Aylık Satış Raporu ( 1 Aylık Satış Miktarına Göre / Grafik) (r710)
Rapor_711,miPSatisRapor,2,Gerçekleşen Tahmini Ciro Raporu (r711)
Rapor_712,miPSatisRapor,2,Mağaza Satış - Net Kar Raporu (r712)
Rapor_713,miPSatisRapor,2,Mağaza Gider Detaylı Net Kar Raporu (r713)
Rapor_714,miPSatisRapor,2,Müşteri Puan Raporu (r714)
Rapor_725,miPSatisRapor,2,Resimli ve Renk-Beden Raporu (r725)
Rapor_726,miPSatisRapor,2,Ödeme Tipine Göre Tutar Dağılım Raporu (r726)
Rapor_727,miPSatisRapor,2,Resimli ve Renk-Beden Raporu Merkez Alış Mağaza Satış (r727)
miLojistic,,0,Lojistik
miSatTeklif,miLojistic,1,Pazarlama Teklifleri
miSiparisYon3,miLojistic,1,Pazarlama Teklif Yönetimi ...
miSatSiparis,miLojistic,1,Pazarlama Siparişleri ...
miSiparisYon1,miLojistic,1,Pazarlama Analiz ve Sipariş Yönetimi ...
miAlTeklif,miLojistic,1,Satınalma Teklifleri
miSiparisYon4,miLojistic,1,Satınalma Teklif Yönetimi ...
miAlSiparis,miLojistic,1,Satınalma Siparişleri ...
miSiparisYon2,miLojistic,1,Satınalma Analiz ve Sipariş Yönetimi ...
miSipOdePlanFilter,miLojistic,1,Sipariş Ödeme Planı Analizi...
miKalite,,0,Kalite
Parametreler1,miKalite,1,Parametreler
miKalParam,Parametreler1,2,Kalite Parametreleri...
miKaliteGrp,Parametreler1,2,Kalite Grupları...
miUretim,,0,Üretim
miHazirRaporlar,,0,Hazır Raporlar
Help1,,0,Araçlar
ools1,Help1,1,Ek Modüller
miResim,ools1,2,Resim Penceresi
miKayDelete,ools1,2,Silinen Kayıtlar
miMail,ools1,2,Çevrimiçi Mail
miSMS,ools1,2,SMS
miKGAjanda,ools1,2,KG Ajanda...
miKGMessenger,ools1,2,KG Messenger...
miRaporOs,ools1,2,Rapor Oluşturma Sihirbazı
miKGCells,ools1,2,KGCells...
miUyari,ools1,2,Uyarı Ekranı...
miTeamViewer,ools1,2,Korgün Destek Uygulaması...
miKorgunOnlineOdeme,ools1,2,Korgün Online Ödeme...
miOdeme,ools1,2,
Birdahagster1,Help1,1,Bir Daha Göster
tmntmzl,Birdahagster1,2,Tümünü Temizle
kasaSifre,Birdahagster1,2,Kasa Şifresini Temizle
Korgun_Haberler,Birdahagster1,2,Korgun_Haberler
Fatura,Birdahagster1,2,Fatura
Genel_Excel_Gonderim_Sekli,Birdahagster1,2,Genel_Excel_Gonderim_Sekli
miSipOzDur,Help1,1,Sipariş Özel Durumları
miUyari_Ayar,Help1,1,Uyarı Ayarları...
miScrSvr,Help1,1,Ekran Kilidi Zamanlaması...
miCRMHatirlat,Help1,1,CRM Hatırlatma Açık
miOtoMail,Help1,1,Otomatik Mail Kontrolü Açık
miMDITabbed,Help1,1,Form Sayfalama
miMenuOtom,Help1,1,Menü Otomatik Açılsın
BBBBB1,Help1,1,Menüde Bul...
miParamsRefresh,Help1,1,Parametreleri yenile
De2,Help1,1,Yerleştir
De1,Help1,1,Düzenle
ArkaResDegis,Help1,1,Arka Resim...
miTema,Help1,1,Tema Değiştir
miLondonLiquidSky,miTema,2,Tema 1
miMcSkin,miTema,2,Tema 2
miStardust,miTema,2,Tema 3
miValentine,miTema,2,Tema 4
miXMas2008Blue,miTema,2,Tema 5
miSharpPlus,miTema,2,Tema 6
NativeStyle1,miTema,2,NativeStyle
EmptySkinName1,miTema,2,EmptySkinName
miKgWeb,Help1,1,Korgun Web Haberler ...
miMutabakatList,Help1,1,Mutabakat Sonuç Listesi...
miCustomerFeedback,Help1,1,Müşteri Geri Bildirim Sistemi...
miConnectingPeople,Help1,1,Bağlı Kullanıcılar...
About2,Help1,1,Hakkında...
miHesapla,Help1,1,Hesapla...
TSFiyatlar,miStok,0,Fiyatlar
TSExstre,miStok,0,Ekstre
TSAF,TSFiyatlar,1,Alış Fiyatları
TSAI,TSFiyatlar,1,Alış iskontosu
TSSF,TSFiyatlar,1,Satış Fiyatları
TSSI,TSFiyatlar,1,Satış iskontosu
TSBarCode,miStok,0,Barkod Tanımları
SBSendAltoA,miirs_A_Dah,4,Sevk Et
SBSendAltoS,miirs_S_Dah,4,Sevk Et
miirs_A_Fat_i,miirs_A,3,Alış İade İrsaliye ...
miirs_A_Kon_i,miirs_A,3,Alış İade Konsinye İrsaliye ...
miirs_A_Dah_i,miirs_A,3,Alış İade Dahili İrsaliye ...
miirs_A_Pro_i,miirs_A,3,Alış İade Promosyon İrsaliye ...
miirs_S_Fat_i,miirs_S,3,Satış İade İrsaliye ...
miirs_S_Kon_i,miirs_S,3,Satış İade Konsinye İrsaliye ...
miirs_S_Dah_i,miirs_S,3,Satış İade Dahili İrsaliye ...
miirs_S_Pro_i,miirs_S,3,Satış İade Promosyon İrsaliye ...
miFat_A_Fat_i,miFat_A,3,Alış İade Fatura ...
miFat_A_Kon_i,miFat_A,3,Alış İade Konsinye Fatura ...
miFat_A_Dah_i,miFat_A,3,Alış İade Dahili Fatura ...
miFat_A_Hiz_i,miFat_A,3,Alış İade Hizmet Fatura ...
miFat_A_Pro_i,miFat_A,3,Alış İade Promosyon Fatura ...
miFat_S_Fat_i,miFat_S,3,Satış İade Fatura ...
miFat_S_Kon_i,miFat_S,3,Satış İade Konsinye Fatura ...
miFat_S_Dah_i,miFat_S,3,Satış İade Dahili Fatura ...
miFat_S_Hiz_i,miFat_S,3,Satış İade Hizmet Fatura ...
miFat_S_Pro_i,miFat_S,3,Satış İade Promosyon Fatura ...
miUrTakip1_G,miUrTakip1,1,Emir Geriçekme
miUrTakip2_G,miUrTakip2,1,Emir Geriçekme
miUrTakip3_G,miUrTakip3,1,Emir Geriçekme
miUrTakip1_i,miUrTakip1,1,Emir ilerletme
miUrTakip2_i,miUrTakip2,1,Emir ilerletme
miUrTakip3_i,miUrTakip3,1,Emir ilerletme
TS_MFinans,miMusteri,0,Finans
Stok,Birdahagster1,2,Stok
Siparis_PazarlamaSiparis_Yazdir_RaporSekil,Birdahagster1,2,Siparis_PazarlamaSiparis_Yazdir_RaporSekil
miAsortiTanim,Help1,1,Asorti Tanımlama...
Siparis,Birdahagster1,2,Siparis
,Birdahagster1,2,
DetayGiris,Birdahagster1,2,DetayGiris
Cari,Birdahagster1,2,Cari
SatTakip_Yazdir_ParaCinsi,Birdahagster1,2,SatTakip_Yazdir_ParaCinsi
Siparis__Barkod_Asorti_Fiyat_Tipleri,Birdahagster1,2,Siparis__Barkod_Asorti_Fiyat_Tipleri
Siparis__Barkod_SatirlarToplansinMi,Birdahagster1,2,Siparis__Barkod_SatirlarToplansinMi
Siparis__BarkodYaz,Birdahagster1,2,Siparis__BarkodYaz
Siparis__Barkod,Birdahagster1,2,Siparis__Barkod
Siparis__Yazdir_BedenSorgusu,Birdahagster1,2,Siparis__Yazdir_BedenSorgusu
Siparis__YazdirAltTopGrup,Birdahagster1,2,Siparis__YazdirAltTopGrup
Siparis_PazarlamaSiparis_UrtSASip_Sekli,Birdahagster1,2,Siparis_PazarlamaSiparis_UrtSASip_Sekli
Siparis_PazarlamaSiparis_UrtSASip_LocDeg,Birdahagster1,2,Siparis_PazarlamaSiparis_UrtSASip_LocDeg
Siparis_PazarlamaSiparis_UrtSASip_FiyDeg,Birdahagster1,2,Siparis_PazarlamaSiparis_UrtSASip_FiyDeg
Siparis__Yazdir_RaporSekil,Birdahagster1,2,Siparis__Yazdir_RaporSekil
Siparis__YazdirGrup,Birdahagster1,2,Siparis__YazdirGrup
Siparis__UrtSASip_FiyDeg,Birdahagster1,2,Siparis__UrtSASip_FiyDeg
ReadBarcodeSip,Birdahagster1,2,ReadBarcodeSip
Siparis__BarkodYaz_DetayAsorti,Birdahagster1,2,Siparis__BarkodYaz_DetayAsorti
Fatura_Satis_Yazdir_RaporListeFR,Birdahagster1,2,Fatura_Satis_Yazdir_RaporListeFR
Fatura_Satis_Yazdir_RaporSekli,Birdahagster1,2,Fatura_Satis_Yazdir_RaporSekli
Fatura_Satis_Yazdir_MevBedenKaldir,Birdahagster1,2,Fatura_Satis_Yazdir_MevBedenKaldir
Fatura_Satis_Yazdir_LotaGoreGruplama,Birdahagster1,2,Fatura_Satis_Yazdir_LotaGoreGruplama
Fatura_Satis_Yazdir_EkrandaGor,Birdahagster1,2,Fatura_Satis_Yazdir_EkrandaGor
CariKart_CariEkstre_Yazdir_Sekli,Birdahagster1,2,CariKart_CariEkstre_Yazdir_Sekli
miSiparisYon1_HR,miHazirRaporlar,1,Pazarlama Analiz ve Sipariş Yönetimi ...
miFaturaYon_HR,miHazirRaporlar,1,Fatura Yönetimi ...
miHR_2,miFaturaYon_HR,2,AYTEKIN
miSiparisYon2_HR,miHazirRaporlar,1,Satınalma Analiz ve Sipariş Yönetimi ...
miHR_5,miSiparisYon2_HR,2,BEKLEYEN_MAL_RAPORU
miHR_6,miSiparisYon2_HR,2,KALAN_MAL_RAPORU
Yetkilendirme,Birdahagster1,2,Yetkilendirme
miDahFiyDeg,miirsaliyemenu,2,Dahili İrsaliye Fiyat Değerleme
miMHesapAktar,miMislemler,2,Hesaplar Arası Aktarım
Siparis__BarkodYaz_AsortiDizayn,Birdahagster1,2,Siparis__BarkodYaz_AsortiDizayn
Siparis_PazarlamaSiparis_Barkod,Birdahagster1,2,Siparis_PazarlamaSiparis_Barkod
Siparis_PazarlamaSiparis_Barkod_Asorti_Fiyat_Tipleri,Birdahagster1,2,Siparis_PazarlamaSiparis_Barkod_Asorti_Fiyat_Tipleri
Siparis_PazarlamaSiparis_Barkod_SatirlarToplansinMi,Birdahagster1,2,Siparis_PazarlamaSiparis_Barkod_SatirlarToplansinMi
Siparis__UrtSASip_LocDeg,Birdahagster1,2,Siparis__UrtSASip_LocDeg
Cariislem_BD_FR_Dizayni,Birdahagster1,2,Cariislem_BD_FR_Dizayni
miHR_7,miSiparisYon1_HR,2,TUTKU
miHR_8,miSiparisYon1_HR,2,MELIS
Siparis__Yazdir_RaporListeFR,Birdahagster1,2,Siparis__Yazdir_RaporListeFR
miCariYonet_HR,miHazirRaporlar,1,Cari Yönetim ...
miHR_9,miCariYonet_HR,2,A
miHR_10,miSiparisYon1_HR,2,ARIF
Fatura_CekiList_Banka,Birdahagster1,2,Fatura_CekiList_Banka
Fatura_Alis_Yazdir_LotaGoreGruplama,Birdahagster1,2,Fatura_Alis_Yazdir_LotaGoreGruplama
Fatura_Alis_Yazdir_MevBedenKaldir,Birdahagster1,2,Fatura_Alis_Yazdir_MevBedenKaldir
Fatura_Alis_Yazdir_EkrandaGor,Birdahagster1,2,Fatura_Alis_Yazdir_EkrandaGor
miHR_11,miSiparisYon2_HR,2,MELIS
miHR_12,miSiparisYon1_HR,2,KRITER
miHR_14,miSiparisYon2_HR,2,KRITER
miHR_16,miSiparisYon2_HR,2,KRITER
HizliStok,Birdahagster1,2,HizliStok
miStokYonetim_HR,miHazirRaporlar,1,Stok Yönetimi ...
miHR_17,miStokYonetim_HR,2,DEPOSTYOK
